Family,Genus,Species,id,Length_cm,Ucrit_cms,Swimming_mode
Acanthuridae,Acanthurus,Acanthurus blochii,CF534,13.8,53.47,pectoral
Acanthuridae,Acanthurus,Acanthurus blochii,CF535,10.8,55.13,pectoral
Acanthuridae,Acanthurus,Acanthurus blochii,CF544,11.4,52.16,pectoral
Acanthuridae,Acanthurus,Acanthurus dussumieri,CF533,14.8,57.38,pectoral
Acanthuridae,Acanthurus,Acanthurus dussumieri,CF546,15,64.28,pectoral
Acanthuridae,Acanthurus,Acanthurus dussumieri,CF547,15.1,63.3,pectoral
Acanthuridae,Acanthurus,Acanthurus lineatus,CF360,8.5,52.25,pectoral
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,CF277,11.4,80.34,pectoral
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,CF278,11.3,71.42,pectoral
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,CF289,10.8,52.47,pectoral
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,CF394,11.3,68.16,pectoral
Acanthuridae,Acanthurus,Acanthurus olivaceus,CF318,12.4,63.94,pectoral
Acanthuridae,Acanthurus,Acanthurus olivaceus,CF501,12.6,59.66,pectoral
Acanthuridae,Acanthurus,Acanthurus triostegus,CF532,17.9,76.16,pectoral
Acanthuridae,Acanthurus,Acanthurus triostegus,CF548,17.1,76.31,pectoral
Acanthuridae,Acanthurus,Acanthurus triostegus,CF554,15.8,75,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus binotatus,CF386,11.3,56.03,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus binotatus,CF387,10.1,42.57,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus binotatus,CF388,11.4,51.46,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus binotatus,CF389,11.7,51.47,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus striatus,CF371,16.4,75.74,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus striatus,CF375,12.7,69.63,pectoral
Acanthuridae,Ctenochaetus,Ctenochaetus striatus,CF376,9.1,40.35,pectoral
Acanthuridae,Naso,Naso brevirostris,CF294,12.2,51.8,caudal
Acanthuridae,Naso,Naso brevirostris,CF450,13,62.99,caudal
Acanthuridae,Naso,Naso brevirostris,CF478,15.5,51.77,caudal
Acanthuridae,Zebrasoma,Zebrasoma scopas,CF275,12.5,57.94,pectoral
Acanthuridae,Zebrasoma,Zebrasoma scopas,CF276,15.3,72.41,pectoral
Acanthuridae,Zebrasoma,Zebrasoma scopas,CF443,10.8,57.63,pectoral
Apogonidae,Apogon,Apogon nigrofasciatus,CF339,6.5,27.09,NA
Apogonidae,Cheilodipterus,Cheilodipterus macrodon,CF379,12.8,33.41,NA
Apogonidae,Cheilodipterus,Cheilodipterus macrodon,CF380,12.4,26.08,NA
Apogonidae,Cheilodipterus,Cheilodipterus macrodon,CF383,12.7,25.57,NA
Apogonidae,Cheilodipterus,Cheilodipterus macrodon,CF384,11.7,24.43,NA
Apogonidae,Cheilodipterus,Cheilodipterus quinquelineatus,CF328,9.3,35.37,NA
Apogonidae,Cheilodipterus,Cheilodipterus quinquelineatus,CF329,9.7,30.65,NA
Apogonidae,Cheilodipterus,Cheilodipterus quinquelineatus,CF338,9,25.48,NA
Balistidae,Sufflamen,Sufflamen chrysopterus,CF513,15.8,61.22,balistoid
Balistidae,Sufflamen,Sufflamen chrysopterus,CF514,14.3,57.48,balistoid
Balistidae,Sufflamen,Sufflamen chrysopterus,CF518,14.1,52.32,balistoid
Chaetodontidae,Chaetodon,Chaetodon aureofasciatus,CF378,7.7,51.88,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon aureofasciatus,CF464,7.7,50.81,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon aureofasciatus,CF490,9.6,39.37,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon auriga,CF312,8.8,50.74,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon auriga,CF370,11.5,70.66,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon auriga,CF493,10.4,48.08,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon baronessa,CF508,10.1,64.5,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon baronessa,CF509,10.2,55.31,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon baronessa,CF511,7.1,46.85,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon citrinellus,CF282,9.7,80.93,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon citrinellus,CF296,9.2,76.6,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon citrinellus,CF416,9.3,75,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon ephippium,CF365,8.1,64.26,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon kleinii,CF303,9.1,57.17,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon kleinii,CF304,8,55.41,pectoral_caudal
Chaetodontidae,Chaetodon,Chaetodon kleinii,CF415,8.8,60.84,pectoral_caudal
